Timestamp,Temperature (C),Vibration (mm/s),Downtime Log,Throughput (units/hour)
2024-12-16 23:14:56,76.45,1.89,None,316
2024-12-16 23:15:06,67.92,0.21,anything,255
2024-12-16 23:15:16,99.82,1.53,trouble,190
2024-12-16 23:15:26,60.62,0.27,None,247
2024-12-16 23:15:36,98.17,1.22,different,332
2024-12-16 23:15:46,69.75,1.93,None,190
2024-12-16 23:15:56,50.43,1.77,None,130
2024-12-16 23:16:06,84.21,1.12,writer,393
2024-12-16 23:16:16,86.68,2.0,None,378
2024-12-16 23:16:26,80.55,1.34,None,172
2024-12-16 23:16:36,87.83,1.94,your,218
2024-12-16 23:16:46,73.02,1.74,None,303
2024-12-16 23:16:56,70.42,1.28,until,206
2024-12-16 23:17:06,83.63,1.6,truth,341
2024-12-16 23:17:16,99.24,1.06,None,107
2024-12-16 23:17:26,96.12,0.54,None,133
2024-12-16 23:17:36,65.41,1.22,None,140
2024-12-16 23:17:46,88.77,0.36,None,273
2024-12-16 23:17:56,55.45,1.17,None,160
2024-12-16 23:18:06,84.08,1.49,None,428
2024-12-16 23:18:16,55.54,1.94,None,404
2024-12-16 23:18:26,87.79,1.62,yard,245
2024-12-16 23:18:36,77.42,1.56,party,198
2024-12-16 23:18:46,61.8,1.05,None,468
2024-12-16 23:18:56,86.84,1.51,sort,466
2024-12-16 23:19:06,89.25,1.14,manage,393
2024-12-16 23:19:16,58.68,1.3,None,320
2024-12-16 23:19:26,89.22,1.95,None,412
2024-12-16 23:19:36,64.54,1.03,adult,434
2024-12-16 23:19:46,59.09,0.88,allow,234
2024-12-16 23:19:56,96.06,1.63,sort,394
2024-12-16 23:20:06,54.96,1.8,None,151
2024-12-16 23:20:16,55.38,1.18,None,231
2024-12-16 23:20:26,89.78,1.03,None,443
2024-12-16 23:20:36,93.56,1.41,None,224
2024-12-16 23:20:46,62.08,1.53,None,155
2024-12-16 23:20:56,60.32,1.96,None,325
2024-12-16 23:21:06,56.22,1.29,None,356
2024-12-16 23:21:16,97.58,1.38,None,165
2024-12-16 23:21:26,82.32,0.2,None,496
2024-12-16 23:21:36,51.9,0.17,None,337
2024-12-16 23:21:46,55.88,0.56,None,320
2024-12-16 23:21:56,92.24,1.95,painting,484
2024-12-16 23:22:06,76.42,0.8,None,349
2024-12-16 23:22:16,83.56,0.19,None,402
2024-12-16 23:22:26,74.18,1.55,that,459
2024-12-16 23:22:36,84.25,0.15,None,234
2024-12-16 23:22:46,70.23,1.88,white,419
2024-12-16 23:22:56,68.74,1.18,None,380
2024-12-16 23:23:06,81.84,0.47,None,287
2024-12-16 23:23:16,76.92,1.68,and,293
2024-12-16 23:23:26,81.69,0.48,None,426
2024-12-16 23:23:36,83.47,1.47,unit,364
2024-12-16 23:23:46,83.89,1.54,None,255
2024-12-16 23:23:56,83.83,0.55,have,116
2024-12-16 23:24:06,63.77,1.59,None,475
2024-12-16 23:24:16,79.0,1.25,give,466
2024-12-16 23:24:26,83.54,0.54,None,201
2024-12-16 23:24:36,55.05,1.39,None,372
2024-12-16 23:24:46,66.9,1.51,probably,233
2024-12-16 23:24:56,70.13,0.81,None,324
2024-12-16 23:25:06,55.98,0.26,unit,216
2024-12-16 23:25:16,97.17,0.9,None,340
2024-12-16 23:25:26,69.91,1.92,None,133
2024-12-16 23:25:36,92.64,1.21,None,455
2024-12-16 23:25:46,87.78,1.93,spring,459
2024-12-16 23:25:56,89.9,0.18,wind,405
2024-12-16 23:26:06,98.22,1.84,single,219
2024-12-16 23:26:16,88.26,1.08,None,233
2024-12-16 23:26:26,72.26,0.82,member,222
2024-12-16 23:26:36,77.38,1.04,None,288
2024-12-16 23:26:46,79.93,0.79,None,421
2024-12-16 23:26:56,58.63,1.81,None,253
2024-12-16 23:27:06,71.57,0.72,name,383
2024-12-16 23:27:16,57.5,1.9,whom,476
2024-12-16 23:27:26,78.24,1.34,None,406
2024-12-16 23:27:36,68.47,0.53,summer,396
2024-12-16 23:27:46,55.5,1.09,or,293
2024-12-16 23:27:56,69.66,1.81,think,138
2024-12-16 23:28:06,77.65,1.65,None,227
2024-12-16 23:28:16,61.49,1.57,None,320
2024-12-16 23:28:26,92.58,1.12,None,373
2024-12-16 23:28:36,93.41,1.39,None,407
2024-12-16 23:28:46,74.38,0.63,None,434
2024-12-16 23:28:56,59.32,0.75,personal,258
2024-12-16 23:29:06,87.51,1.46,None,235
2024-12-16 23:29:16,50.55,0.89,trial,284
2024-12-16 23:29:26,59.19,0.64,None,362
2024-12-16 23:29:36,82.31,1.52,None,349
2024-12-16 23:29:46,54.18,1.5,happy,252
2024-12-16 23:29:56,56.69,1.05,foot,121
2024-12-16 23:30:06,88.54,1.14,look,306
2024-12-16 23:30:16,58.1,0.19,None,487
2024-12-16 23:30:26,66.26,0.15,None,337
2024-12-16 23:30:36,90.5,0.5,None,142
2024-12-16 23:30:46,95.11,0.34,None,139
2024-12-16 23:30:56,63.14,0.18,lose,391
2024-12-16 23:31:06,79.44,1.68,blue,368
2024-12-16 23:31:16,83.51,0.46,None,366
2024-12-16 23:31:26,59.44,1.17,None,354
2024-12-16 23:31:36,87.93,1.17,piece,244
2024-12-16 23:31:46,83.65,0.61,None,218
2024-12-16 23:31:56,75.27,0.85,after,340
2024-12-16 23:32:06,63.04,1.67,will,154
2024-12-16 23:32:16,91.49,1.04,None,455
2024-12-16 23:32:26,80.41,0.5,pay,219
2024-12-16 23:32:36,54.73,0.5,None,441
2024-12-16 23:32:46,55.94,1.16,None,172
2024-12-16 23:32:56,69.44,0.47,None,238
